Date,Rainfall,Tmax,Tmin,speed
20120201,0.12,28.9,20.0,
20120202,0.00,31.9,19.3,
20120203,0.00,30.7,20.4,
20120204,0.00,31.0,18.8,
20120205,0.00,31.8,19.4,
20120206,0.00,30.6,20.9,
20120207,0.00,28.9,19.7,
20120208,0.00,30.8,19.9,
20120209,0.00,32.3,19.1,
20120210,0.00,30.3,20.5,
20120211,0.00,30.4,19.8,
20120212,0.00,28.4,20.3,
20120213,0.13,28.9,21.5,
20120214,0.05,27.8,20.1,
20120215,0.02,31.0,20.7,
20120216,0.84,28.8,20.0,
20120217,0.68,31.5,19.8,
20120218,4.56,27.9,19.9,
20120219,1.59,27.6,19.3,
20120220,3.69,28.2,19.9,
20120221,4.92,26.5,17.9,
20120222,0.33,28.6,19.7,
20120223,1.20,27.4,20.4,
20120224,1.11,27.6,19.3,
20120225,7.64,27.5,20.2,
20120226,0.00,23.2,17.8,
20120227,0.61,26.0,17.9,
20120228,1.51,27.5,19.7,
20120229,1.74,27.9,20.2,
20120301,6.43,25.2,17.9,
20120302,5.33,25.8,18.3,
20120303,3.15,27.0,19.2,
20120304,0.55,24.8,17.6,
20120305,0.87,25.3,16.9,
20120306,0.00,25.5,19.5,
20120307,6.11,25.0,18.1,
20120308,0.04,27.5,19.9,
20120309,0.00,28.0,19.0,
20120310,0.00,28.5,19.3,
20120311,0.00,28.0,20.1,
20120312,0.07,28.0,19.1,
20120313,0.00,26.6,19.2,
20120314,0.03,26.9,20.1,
20120315,0.00,28.6,20.4,
20120316,0.00,29.1,20.0,
20120317,0.71,29.1,19.9,
20120318,0.32,26.5,21.4,
20120319,5.58,28.1,20.3,
20120320,0.80,28.1,19.6,
20120321,2.33,27.9,21.8,
20120322,0.41,27.4,20.7,
20120323,0.43,29.3,21.3,
